timestamp,caller,callee,duration,imei,imsi,cell_id
2026-09-13 16:10:00,9876559695,9876598777,94,864928046049101,404450536019893,TWR_661
2026-09-13 17:36:00,9876510053,9876549829,151,864928046406444,404450599277266,TWR_552
2026-09-13 14:16:00,9876598555,9876538010,266,864928043846949,404450807435606,TWR_186
2026-09-13 12:55:00,9876577561,9876597012,176,,404450906528433,TWR_340
2026-09-13 16:14:00,9876550687,9876539444,106,864928041775337,404450362897676,TWR_586
2026-09-13 15:42:00,9876519545,9876569692,217,864928044262081,404450871318048,TWR_813
2026-09-13 13:46:00,9876574799,9876562383,129,864928041093026,404450906341966,TWR_981
2026-09-13 17:04:00,9876523970,9876565724,117,864928049689889,404450598806645,TWR_151
2026-09-13 15:15:00,9876542662,9876525906,238,864928048795419,404450816806128,TWR_643
2026-09-13 15:16:00,9876588047,9876551588,231,864928049468772,404450558209399,TWR_950
2026-09-13 18:14:00,9876581810,9876568446,86,864928048963715,404450583258726,TWR_365
2026-09-13 16:54:00,9876542406,9876593579,146,864928049745959,404450620332086,TWR_741
2026-09-13 12:32:00,9876545992,9876567654,44,864928044934149,404450391751878,TWR_443
2026-09-13 13:13:00,9876580798,9876520561,75,864928047426265,404450845122940,TWR_256
2026-09-13 16:31:00,9876538043,9876518418,217,864928048816912,404450546434187,TWR_163
2026-09-13 12:15:00,9876565069,9876561049,15,864928047381734,404450612153089,TWR_106
2026-09-13 13:30:00,9876549139,9876561116,219,864928044700025,404450624232414,TWR_324
2026-09-13 12:49:00,9876567125,9876573654,19,864928047783308,404450877583839,TWR_269
2026-09-13 17:40:00,9876571261,9876526728,278,,404450523076025,TWR_706
2026-09-13 15:18:00,9876596900,9876513552,47,864928043276659,404450595744935,TWR_286
2026-09-13 10:55:00,9876544099,9876559689,172,864928046483562,404450462388455,TWR_879
2026-09-13 18:00:00,9876559692,9876546471,220,864928042374158,404450604988121,TWR_119
2026-09-13 16:53:00,9876580702,9876516826,184,864928042151225,404450938842599,TWR_767
2026-09-13 10:50:00,9876514067,9876542411,107,864928043556551,404450356135680,TWR_229
2026-09-13 14:32:00,9876597747,9876524993,293,864928048801975,404450851044796,TWR_362
2026-09-13 17:02:00,9876558351,9876531992,63,864928043747534,404450433975497,TWR_210
2026-09-13 15:26:00,9876513365,9876550888,299,864928047296605,404450525904456,TWR_832
2026-09-13 12:11:00,9876519961,9876587607,129,864928046059717,404450834717549,TWR_714
2026-09-13 17:22:00,9876525866,9876584177,26,864928048186990,404450810303128,TWR_479
2026-09-13 11:05:00,9876576317,9876594874,179,,404450551034639,TWR_942
2026-09-13 14:40:00,9876523833,9876566822,190,864928048713146,404450859466878,TWR_256
2026-09-13 14:12:00,9876533086,9876578386,143,864928049111742,404450599154414,TWR_546
2026-09-13 17:32:00,9876587656,9876545179,170,864928042453962,404450399496923,TWR_561
2026-09-13 12:34:00,9876570910,9876584691,199,864928049293086,404450448981305,TWR_286
2026-09-13 14:39:00,9876537802,9876556507,137,864928045635017,404450696776072,TWR_110
2026-09-13 14:54:00,9876535042,9876521221,128,864928049196976,404450696115913,TWR_876
